ID del ticket,Asunto,Estado,Nombre completo,ID de contacto
762925,Money transfer refund (tracking number (MTCN) 6971036046),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
763037,Money transfer refund (tracking number (MTCN) 8440535959),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
763113,Money transfer refund (tracking number (MTCN) 2514675039),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
763328,Money transfer refund (tracking number (MTCN) 6578228551),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
763329,Money transfer refund (tracking number (MTCN) 9538119111),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
763657,Money transfer refund [ ref:!00D150F40r.!500Uv0PEAMH:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764053,Money transfer refund (tracking number (MTCN) 0244229951),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764057,Money transfer refund (tracking number (MTCN) 5605259752),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764142,Money transfer refund (tracking number (MTCN) 1096701037),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764204,Money transfer refund (tracking number (MTCN) 2911293749),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764302,Money transfer refund [ ref:!00D150F40r.!500Uv0PFeQM:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764547,Money transfer refund (tracking number (MTCN) 7574826848),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764548,Money transfer refund (tracking number (MTCN) 9561264965) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764549,Money transfer refund (tracking number (MTCN) 5247933871),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764598,Money transfer refund (tracking number (MTCN) 2084043473),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764604,Money transfer refund (tracking number (MTCN) 3274309123),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764647,Money transfer refund (tracking number (MTCN) 3862560563),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
764762,Money transfer refund (tracking number (MTCN) 7913183704),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765439,Money transfer refund (tracking number (MTCN) 4407907416),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765489,Money transfer refund (tracking number (MTCN) 5042325338),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765490,Money transfer refund (tracking number (MTCN) 7438687343) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765772,Money transfer refund (tracking number (MTCN) 4776497371),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765968,Money transfer refund (tracking number (MTCN) 9349414810),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
765992,Money transfer refund (tracking number (MTCN) 6755987741),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766014,Money transfer refund (tracking number (MTCN) 8285878401),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766097,Money transfer refund (tracking number (MTCN) 6285088061),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766110,Money transfer refund [ ref:!00D150F40r.!500Uv0PIxHr:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766120,Money transfer refund (tracking number (MTCN) 1791964904),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766129,Money transfer refund (tracking number (MTCN) 7512941787),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766777,Money transfer refund (tracking number (MTCN) 9105016762),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
766886,Money transfer refund (tracking number (MTCN) 0966032181) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
767196,Money transfer refund (tracking number (MTCN) 8366681906) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
767258,Money transfer refund (tracking number (MTCN) 7752873284),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
767322,Money transfer refund (tracking number (MTCN) 8987219201),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
767394,Money transfer refund (tracking number (MTCN) 9258870365) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
767863,Money transfer refund (tracking number (MTCN) 7285881060),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768055,Money transfer refund (tracking number (MTCN) 2973070083),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768081,Money transfer refund (tracking number (MTCN) 1909589224),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768311,Money transfer refund (tracking number (MTCN) 9636245664),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768597,Money transfer refund (tracking number (MTCN) 8616653838),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768612,Money transfer refund (tracking number (MTCN) 5938752189) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768735,Money transfer refund (tracking number (MTCN) 0586913694) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768745,Money transfer refund (tracking number (MTCN) 7344100307),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768767,Money transfer refund (tracking number (MTCN) 7827817051),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768810,Money transfer refund (tracking number (MTCN) 4526745761),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
768937,Money transfer refund (tracking number (MTCN) 3207865735) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
769159,Money transfer refund (tracking number (MTCN) 7650984520),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
769417,Money transfer refund (tracking number (MTCN) 6886994131),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
769444,Money transfer refund [ ref:!00D150F40r.!500Uv0PRDJ6:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
769647,Money transfer refund [ ref:!00D150F40r.!500Uv0PS5eJ:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771026,Money transfer refund [ ref:!00D150F40r.!500Uv0PTQgf:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771122,Money transfer refund [ ref:!00D150F40r.!500Uv0PU9Yy:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771175,Money transfer refund [ ref:!00D150F40r.!500Uv0PUABo:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771370,Money transfer refund [ ref:!00D150F40r.!500Uv0PUGu2:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771564,Money transfer refund [ ref:!00D150F40r.!500Uv0PU826:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
771788,Money transfer refund [ ref:!00D150F40r.!500Uv0PUJWx:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
772410,Money transfer refund [ ref:!00D150F40r.!500Uv0PVBZA:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
772490,Money transfer refund [ ref:!00D150F40r.!500Uv0PVDgz:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
772513,Money transfer refund [ ref:!00D150F40r.!500Uv0PVJBO:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773866,Money transfer refund [ ref:!00D150F40r.!500Uv0PXwDM:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773873,Money transfer refund [ ref:!00D150F40r.!500Uv0PYGPG:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773877,Money transfer refund [ ref:!00D150F40r.!500Uv0PXtAg:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773886,Money transfer refund [ ref:!00D150F40r.!500Uv0PXfHO:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773917,Money transfer refund [ ref:!00D150F40r.!500Uv0PWu0s:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773926,Money transfer refund [ ref:!00D150F40r.!500Uv0PXORl:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773927,Money transfer refund (tracking number (MTCN) 5973750516),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773928,Money transfer refund (tracking number (MTCN) 9553229473),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773933,Money transfer refund (tracking number (MTCN) 8783534898),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773945,Money transfer refund (tracking number (MTCN) 4324809248),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773946,Money transfer refund (tracking number (MTCN) 1336408583),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773962,Money transfer refund (tracking number (MTCN) 4748415625) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
773963,Money transfer refund [ ref:!00D150F40r.!500Uv0PX9wA:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
774264,Money transfer refund (tracking number (MTCN) 1140167275),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
774305,Money transfer refund (tracking number (MTCN) 5228366428),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
774514,Money transfer refund (tracking number (MTCN) 0366409115),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
774794,Money transfer refund (tracking number (MTCN) 4490236731),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
774963,Money transfer refund (tracking number (MTCN) 8629840446),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775199,Money transfer refund (tracking number (MTCN) 0368178511),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775218,Money transfer refund (tracking number (MTCN) 5179565501),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775236,Money transfer refund (tracking number (MTCN) 1243265131) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775243,Money transfer refund (tracking number (MTCN) 1588389014),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775244,Money transfer refund (tracking number (MTCN) 2706776039),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775251,Money transfer refund (tracking number (MTCN) 1823032335),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775343,Money transfer refund (tracking number (MTCN) 4608984261),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775344,Money transfer refund (tracking number (MTCN) 0599062892),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775356,Money transfer refund [ ref:!00D150F40r.!500Uv0PcjXB:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775387,Money transfer refund [ ref:!00D150F40r.!500Uv0Pcihn:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775430,Money transfer refund [ ref:!00D150F40r.!500Uv0PcVuZ:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775583,Money transfer refund (tracking number (MTCN) 2530929483),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
775716,Money transfer refund [ ref:!00D150F40r.!500Uv0Pcmy9:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776009,Money transfer refund [ ref:!00D150F40r.!500Uv0Pd4N7:ref ],Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776027,Money transfer refund (tracking number (MTCN) 5827929370),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776161,Money transfer refund (tracking number (MTCN) 4165226972),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776216,Money transfer refund (tracking number (MTCN) 9622921235),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776217,Money transfer refund (tracking number (MTCN) 4510344641),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776236,Money transfer refund (tracking number (MTCN) 8390655996) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776237,Money transfer refund (tracking number (MTCN) 5827954780) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776350,Money transfer refund (tracking number (MTCN) 0731563624) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776396,Money transfer refund (tracking number (MTCN) 1941048604) ,Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
776586,Money transfer refund (tracking number (MTCN) 4513999978),Resolved,Refundnotification-noreply,refundnotification-noreply@westernunion.com
